DDT,BLOQUE,TRATAMIENTO,INCIDENCIA,SEVERIDAD,n
12,1,100 % OR,0.14285714285714285,76.19047619047619,7
12,1,100 % Si,0.14285714285714285,71.42857142857143,7
12,1,150 % OR,0.2857142857142857,95.23809523809523,7
12,1,150 % Si,0.14285714285714285,71.42857142857143,7
12,1,50 % OR,0.125,62.5,8
12,1,50 % Si,0.0,46.666666666666664,10
12,1,CERO F,0.0,66.66666666666666,7
12,2,100 % OR,0.0,66.66666666666666,7
12,2,100 % Si,0.14285714285714285,71.42857142857143,7
12,2,150 % OR,0.14285714285714285,80.95238095238095,7
12,2,150 % Si,0.2857142857142857,85.71428571428571,7
12,2,50 % OR,0.0,51.85185185185185,9
12,2,50 % Si,0.14285714285714285,71.42857142857143,7
12,2,CERO F,0.0,66.66666666666666,7
12,3,100 % OR,0.0,66.66666666666666,7
12,3,100 % Si,0.14285714285714285,71.42857142857143,7
12,3,150 % OR,0.0,66.66666666666666,7
12,3,150 % Si,0.42857142857142855,90.47619047619048,7
12,3,50 % OR,0.0,77.77777777777779,6
12,3,50 % Si,0.0,77.77777777777779,6
12,3,CERO F,0.0,77.77777777777779,6
16,1,100 % OR,0.14285714285714285,76.19047619047619,7
16,1,100 % Si,0.14285714285714285,71.42857142857143,7
16,1,150 % OR,0.2857142857142857,95.23809523809523,7
16,1,150 % Si,0.42857142857142855,85.71428571428571,7
16,1,50 % OR,0.125,62.5,8
16,1,50 % Si,0.0,46.666666666666664,10
16,1,CERO F,0.0,66.66666666666666,7
16,2,100 % OR,0.0,66.66666666666666,7
16,2,100 % Si,0.14285714285714285,76.19047619047619,7
16,2,150 % OR,0.14285714285714285,80.95238095238095,7
16,2,150 % Si,0.14285714285714285,80.95238095238095,7
16,2,50 % OR,0.0,51.85185185185185,9
16,2,50 % Si,0.2857142857142857,80.95238095238095,7
16,2,CERO F,0.0,66.66666666666666,7
16,3,100 % OR,0.0,66.66666666666666,7
16,3,100 % Si,0.0,66.66666666666666,7
16,3,150 % OR,0.0,66.66666666666666,7
16,3,150 % Si,0.7142857142857143,100.0,7
16,3,50 % OR,0.0,77.77777777777779,6
16,3,50 % Si,0.0,77.77777777777779,6
16,3,CERO F,0.0,77.77777777777779,6
19,1,100 % OR,0.14285714285714285,76.19047619047619,7
19,1,100 % Si,0.2857142857142857,76.19047619047619,7
19,1,150 % OR,0.2857142857142857,95.23809523809523,7
19,1,150 % Si,0.42857142857142855,95.23809523809523,7
19,1,50 % OR,0.125,62.5,8
19,1,50 % Si,0.0,46.666666666666664,10
19,1,CERO F,0.0,66.66666666666666,7
19,2,100 % OR,0.0,66.66666666666666,7
19,2,100 % Si,0.14285714285714285,80.95238095238095,7
19,2,150 % OR,0.14285714285714285,80.95238095238095,7
19,2,150 % Si,0.2857142857142857,85.71428571428571,7
19,2,50 % OR,0.1111111111111111,55.55555555555556,9
19,2,50 % Si,0.2857142857142857,85.71428571428571,7
19,2,CERO F,0.0,66.66666666666666,7
19,3,100 % OR,0.0,66.66666666666666,7
19,3,100 % Si,0.2857142857142857,76.19047619047619,7
19,3,150 % OR,0.0,66.66666666666666,7
19,3,150 % Si,0.7142857142857143,109.52380952380953,7
19,3,50 % OR,0.0,77.77777777777779,6
19,3,50 % Si,0.16666666666666666,83.33333333333334,6
19,3,CERO F,0.0,77.77777777777779,6
23,1,100 % OR,0.2857142857142857,80.95238095238095,7
23,1,100 % Si,0.42857142857142855,90.47619047619048,7
23,1,150 % OR,0.2857142857142857,95.23809523809523,7
23,1,150 % Si,0.42857142857142855,95.23809523809523,7
23,1,50 % OR,0.25,75.0,8
23,1,50 % Si,0.2,53.333333333333336,10
23,1,CERO F,0.0,66.66666666666666,7
23,2,100 % OR,0.0,66.66666666666666,7
23,2,100 % Si,0.2857142857142857,85.71428571428571,7
23,2,150 % OR,0.14285714285714285,80.95238095238095,7
23,2,150 % Si,0.2857142857142857,90.47619047619048,7
23,2,50 % OR,0.0,51.85185185185185,9
23,2,50 % Si,0.2857142857142857,85.71428571428571,7
23,2,CERO F,0.0,66.66666666666666,7
23,3,100 % OR,0.0,66.66666666666666,7
23,3,100 % Si,0.14285714285714285,71.42857142857143,7
23,3,150 % OR,0.14285714285714285,71.42857142857143,7
23,3,150 % Si,0.7142857142857143,109.52380952380953,7
23,3,50 % OR,0.0,77.77777777777779,6
23,3,50 % Si,0.16666666666666666,83.33333333333334,6
23,3,CERO F,0.0,77.77777777777779,6
26,1,100 % OR,0.2857142857142857,85.71428571428571,7
26,1,100 % Si,0.5714285714285714,95.23809523809523,7
26,1,150 % OR,0.2857142857142857,95.23809523809523,7
26,1,150 % Si,0.42857142857142855,95.23809523809523,7
26,1,50 % OR,0.25,75.0,8
26,1,50 % Si,0.2,53.333333333333336,10
26,1,CERO F,0.0,66.66666666666666,7
26,2,100 % OR,0.2857142857142857,76.19047619047619,7
26,2,100 % Si,0.2857142857142857,85.71428571428571,7
26,2,150 % OR,0.2857142857142857,85.71428571428571,7
26,2,150 % Si,0.2857142857142857,90.47619047619048,7
26,2,50 % OR,0.0,51.85185185185185,9
26,2,50 % Si,0.2857142857142857,90.47619047619048,7
26,2,CERO F,0.0,66.66666666666666,7
26,3,100 % OR,0.0,66.66666666666666,7
26,3,100 % Si,0.2857142857142857,80.95238095238095,7
26,3,150 % OR,0.14285714285714285,76.19047619047619,7
26,3,150 % Si,0.8571428571428571,119.04761904761905,7
26,3,50 % OR,0.16666666666666666,83.33333333333334,6
26,3,50 % Si,0.3333333333333333,94.44444444444444,6
26,3,CERO F,0.0,77.77777777777779,6
30,1,100 % OR,0.42857142857142855,100.0,7
30,1,100 % Si,0.5714285714285714,100.0,7
30,1,150 % OR,0.42857142857142855,100.0,7
30,1,150 % Si,0.42857142857142855,104.76190476190477,7
30,1,50 % OR,0.375,79.16666666666666,8
30,1,50 % Si,0.2,56.666666666666664,10
30,1,CERO F,0.14285714285714285,76.19047619047619,7
30,2,100 % OR,0.2857142857142857,80.95238095238095,7
30,2,100 % Si,0.2857142857142857,90.47619047619048,7
30,2,150 % OR,0.5714285714285714,95.23809523809523,7
30,2,150 % Si,0.5714285714285714,109.52380952380953,7
30,2,50 % OR,0.2222222222222222,62.96296296296296,9
30,2,50 % Si,0.42857142857142855,100.0,7
30,2,CERO F,0.0,66.66666666666666,7
